Cagetory,Action,FullEventName,Field
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceGuidGenerated,data.deviceGuid
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceStarted,data.deviceGuid
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceDescriptorData,data.deviceGuid
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceDescriptorData,data.serialNumber
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceDescriptorData,data.vendorId
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceDescriptorData,data.diskCapacityBytes
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceAccessAlignment,data.deviceGuid
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceAccessAlignment,data.bytesPerSector
USB,Connect,Microsoft.Windows.Storage.Classpnp.DeviceSeekPenaltyProperty,data.deviceGuid
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.diskId
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.partitionOffset
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.partitionLength
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.isBoot
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.isHidden
USB,Connect,Microsoft.Windows.Storage.VolumeManager.BasicVolumeDeviceCreation,data.isReadOnly
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.bytesPerSector
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.capacityBytes
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.manufacturer
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.model
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.serial
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.diskId
USB,Connect,Microsoft.Windows.Storage.Partmgr.DiskDiscovery,data.registryId
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.volumeId
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.mountStartTime
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.bytesPerSector
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.clusterSizeBytes
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.totalClusters
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.freeClusters
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.volumeFat32
USB,Connect,Microsoft.Windows.FileSystem.Fat.Mount,data.volumeMountedReadOnly
USB,Connect,Microsoft.Windows.FileSystem.NTFS.Mount,data.volumeId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.volumeId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.mountGuid
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.mountStartTime
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.diskId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.vendorId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.productId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.logicalSectorSizeBytes
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.clusterSizeBytes
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.volumeCreationTime
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.totalClusters
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfo,data.freeClusters
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfoSizes,data.volumeId
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfoSizes,data.mountGuid
USB,Connect,Microsoft.Windows.FileSystem.NTFS.VolumeInfoSizes,data.mountStartTime
USB,Connect,Microsoft.Windows.FileSystem.FltMgr.VolumeAttach,data.VolumeGuid
USB,Connect,Microsoft.Windows.FileSystem.FltMgr.InitInstance,data.VolumeGuid
USB,Connect,Microsoft.Windows.Storage.StorageService.UsbDiskArrival,"data,VendorId"
USB,Connect,Microsoft.Windows.Storage.StorageService.UsbDiskArrival,data.ProductId
USB,Connect,Microsoft.Windows.Storage.StorageService.UsbDiskArrival,data.SerialNumber
USB,Connect,Microsoft.Windows.Storage.StorageService.UsbDiskArrival,data.FileSystem
USB,Connect,Microsoft.Windows.Storage.StorageService.UsbDiskArrival,data.Size
USB,Connect,Microsoft.Windows.Storage.StorageService.SdCardStatus,data.StorageId
USB,Connect,Microsoft.Windows.Storage.StorageService.SdCardStatus,data.VolumePath
USB,Connect,Microsoft.Windows.Storage.StorageService.SdCardStatus,data.VolumeName
USB,Disconnect,Microsoft.Windows.Storage.Classpnp.DeviceRemoved,data.DeviceGuid
USB,Disconnect,Microsoft.Windows.Storage.Classpnp.DeviceRemoved,data.surpriseRemoval
USB,Disconnect,Microsoft.Windows.FileSystem.NTFS.SurpriseRemove,data.storageId
USB,Disconnect,Microsoft.Windows.Storage.StorageService.SurpriseRemoval,data.storageId
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserInfo,data.ConnectionType
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserInfo,data.Language
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserInfo,data.Timestamp
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserLaunchInfo,data.CorrelationGuid
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserLaunchInfo,data.RequestInitialUrl
WebBrowser,Start Browser,Microsoft.WebBrowser.HistoryJournal.HJ_BrowserLaunchInfo,data.Timestamp
WebBrowser,Create Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabCreated,data.CorrelationGuid
WebBrowser,Create Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabCreated,data.ConnectionType
WebBrowser,Create Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabCreated,data.Timestamp
WebBrowser,Close Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabClosed,data.CorrelationGuid
WebBrowser,Close Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabClosed,data.ConnectionType
WebBrowser,Close Tab,Microsoft. WebBrowser.HistoryJournal.HJ_TabClosed,data.Timestamp
WebBrowser,Close Browser,Microsoft. WebBrowser.HistoryJournal.HJ_TabAllClosed,data.ConnectionType
WebBrowser,Close Browser,Microsoft. WebBrowser.HistoryJournal.HJ_TabAllClosed,data.Timestamp
WebBrowser,Visit,WebBrowser.HistoryJournal.HJ_BeforeNavigateExtended,data.ConnectionType
WebBrowser,Visit,WebBrowser.HistoryJournal.HJ_BeforeNavigateExtended,data.navigationUrl
WebBrowser,Visit,WebBrowser.HistoryJournal.HJ_BeforeNavigateExtended,data.Timestamp
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrl,data.ConnectionType
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrl,data.navigationUrl
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrl,data.Timestamp
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,data.ConnectionType
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,data.navigationUrl
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,data.Timestamp
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,data.referUrl
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_NavigateCompleteExtended,data.httpStatusCode
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrlEx,data.ConnectionType
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrlEx,data.Timestamp
WebBrowser,Visit,Microsoft.WebBrowser.HistoryJournal.HJ_HistoryAddUrlEx,data.PageTitle
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.eventSource
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.interfaceGuid
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.interfaceType
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.interfaceDescription
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.profileName
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.ssid
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiStartConnectionAction,data.connectionMode
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.eventSource
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.initerfaceGuid
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.interfacetype
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.interfaceDescription
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.ssid
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.authAlgo
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.cipherAlgo
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.isHidden
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.bssid
WiFi,Connect,Microsoft.OneCore.NetworkingTriage.GetConnected.WiFiConnectedEvent,data.wlanStatusCode
WiFi,Disconnect,Wlansvc.WlanDisconnect,data.InterfaceGuid
WiFi,Disconnect,Wlansvc.WlanDisconnect,data.InterfaceDescription
WiFi,Disconnect,Wlansvc.WlanDisconnect,data.ProfileName
WiFi,Disconnect,Wlansvc.WlanDisconnect,data.SSID
WiFi,Disconnect,Wlansvc.WlanDisconnect,data.BSSID
